CODIGO_ESTABLECIMIENTO,NOM_ESTAB,Dirección,Nom_depa,Nom_muni,SECTOR,AREA,PLAN,JORNADA,Evaluados_Nacional_2013,SEXO_Mujer_Cantidad_Nacional_2013,SEXO_Hombre_Cantidad_Nacional_2013,SEXO_Mujer_Porcentaje_Nacional_2013,SEXO_Hombre_Porcentaje_Nacional_2013,PLAN_DIARIO_Cantidad_Nacional_2013,PLAN_SABATINO_Cantidad_Nacional_2013,PLAN_DOMINICAL_Cantidad_Nacional_2013,PLAN_FIN_SEMANA_Cantidad_Nacional_2013,PLAN_A_DISTANCIA_Cantidad_Nacional_2013,LOGRO_LECTURA_Porcentaje_Nacional_2013,NO_LOGRO_LECTURA_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_EXCELENTE_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_SATISFAC_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_D_MEJORAR_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_INSATIS_Porcentaje_Nacional_2013,LOGRO_NACIONAL_MATE_PORCENTAJE_2013,NO_LOGRO_MATE_NAC_2013,DESEMPEÑO_MATE_EXCELENTE_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_SATISFAC_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_D_MEJORAR_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_INSATIS_Porcentaje_Nacional_2013,Cantidad_Evaluados_Establecimiento_2013,LOGRO_LECTURA_ESTABLECIMIENTO_BAS2013,NO_LOGRO_LECTURA_ESTABLECIMIENTO_BAS2013,DESEMPEÑO_EXCELENTE_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_SATISFACTORIO_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_DEBE_MEJORAR_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_INSATISFACTORIO_LECTURA_PORCENTAJE_BAS2013,NUM_ALUM_10_EVAL_LEC_2013,LOGRO_NACIONAL_LECT_PORCENTAJE_2013,LOGRO_LECTURA_DEPARTAMENTAL_PORCENTAJE_2013,LOGRO_LECTURA_MUNICIPAL_PORCENTAJE_2013,NO_LOGRO_LECTURA_Porcentaje_Nacional_2013,NO_LOGRO_LECTURA_Departamental_2013,NO_LOGRO_LECTURA_Municipal_2013,LIBROS_LEE_PARA_INFORME_2_o_MENOS_2013,LIBROS_LEE_PARA_INFORME_3_a_6a_2013,LIBROS_LEE_PARA_INFORME_más_de_6a_2013,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_BAS2013,NO_LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_BAS2013,DESEMPEÑO_EXCELENTE_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_SATISFACTORIO_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_DEBE_MEJORAR_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_INSATISFACTORIO_MATE_PORCENTAJE_BAS2013,NUM_ALUM_10_EVAL_MATE,LOGRO_NACIONAL_MATE_PORCENTAJE_2013,LOGRO_MATEMÁTICAS_DEPARTAMENTAL_PORCENTAJE_2013,LOGRO_MATEMÁTICAS_MUNICIPAL_PORCENTAJE_2013,NO_LOGRO_MATEMÁTICAS_Porcentaje_Nacional_2013,NO_LOGRO_MATEMÁTICAS_Departamental_2013,NO_LOGRO_MATEMÁTICAS_Municipal_2013,LOGRO_LECTURA_ESTABLECIMIENTO_2009,LOGRO_LECTURA_ESTABLECIMIENTO_2006,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2009,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2006,MODELOS_DE_CALIDAD_SECTOR_OFICIAL
00-01-0203-45,INEB ADSCRITO AL INSTITUTO NACIONAL CENTRAL PARA VARONES,9A AVE. 9-27,Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,43.00,18.60,81.40,11.63,6.98,44.19,37.21,2.00,14.58,25.88,22.66,85.42,74.12,77.34,76.74,23.26,0.00,25.58,74.42,4.65,20.93,37.21,37.21,3.00,18.35,26.78,22.56,81.65,73.22,77.44,37.97,71.43,16.46,44.44,REGULAR
00-01-0204-45,INEB ADS. A INSTITUTO NORMAL PARA SEÑORITAS CENTRO AMERICA (I.N.C.A.),1A CALLE 2-64,Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,182.00,36.26,63.74,14.29,21.98,40.66,23.08,4.00,14.58,25.88,22.66,85.42,74.12,77.34,58.89,33.33,7.78,21.43,78.57,0.55,20.88,42.86,35.71,2.00,18.35,26.78,22.56,81.65,73.22,77.44,41.33,44.93,19.39,20.08,REGULAR
00-01-0205-45,INEB ADSCRITO AL INSTITUTO NORMAL CENTRAL PARA SEÑORITAS BELEN,11 AVENIDA 12-20,Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,145.00,20.69,79.31,5.52,15.17,40.00,39.31,2.00,14.58,25.88,22.66,85.42,74.12,77.34,40.97,45.83,13.19,16.55,83.45,0.69,15.86,23.45,60.00,2.00,18.35,26.78,22.56,81.65,73.22,77.44,29.49,42.92,16.17,28.04,REGULAR
00-01-0206-45,INEB ADSC. INSTITUTO RAFAEL AQUECHE,"9A CALLE 2-36,",Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,47.00,29.79,70.21,8.51,21.28,31.91,38.30,3.00,14.58,25.88,22.66,85.42,74.12,77.34,63.83,31.91,4.26,31.91,68.09,0.00,31.91,34.04,34.04,3.00,18.35,26.78,22.56,81.65,73.22,77.44,21.88,40.78,21.43,27.03,REGULAR
00-01-0207-45,INEB ADSCRITO RAFAEL AQUECHE,9A CALLE 2-36,Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,49.00,24.49,75.51,12.24,12.24,32.65,42.86,2.00,14.58,25.88,22.66,85.42,74.12,77.34,77.55,22.45,0.00,34.69,65.31,2.04,32.65,36.73,28.57,3.00,18.35,26.78,22.56,81.65,73.22,77.44,29.03,23.08,41.94,42.50,REGULAR
00-01-0208-45,INEB ADSCRITO AL INSTITUTO NORMAL MIXTO NOCTURNO,9A AVE. 9-27,Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),NOCTURNA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,91.00,14.77,85.23,5.68,9.09,30.68,54.55,1.00,14.58,25.88,22.66,85.42,74.12,77.34,85.56,13.33,1.11,16.85,83.15,0.00,16.85,22.47,60.67,2.00,18.35,26.78,22.56,81.65,73.22,77.44,18.03,31.03,4.92,12.28,REGULAR
00-01-0210-45,COLEGIO CATOLICO 'SAN PABLO',14 CALLE 'A' 2-41,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,53.00,49.06,50.94,18.87,30.19,45.28,5.66,5.00,14.58,25.88,22.66,85.42,74.12,77.34,73.58,24.53,1.89,52.83,47.17,5.66,47.17,30.19,16.98,5.00,18.35,26.78,22.56,81.65,73.22,77.44,69.49,81.63,60.66,36.00,
00-01-0211-45,COLEGIO PARA VARONES 'SAN SEBASTIAN',2A CALLE 6-56,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,66.00,60.61,39.39,42.42,18.18,28.79,10.61,6.00,14.58,25.88,22.66,85.42,74.12,77.34,66.67,31.82,1.52,66.67,33.33,15.15,51.52,19.70,13.64,7.00,18.35,26.78,22.56,81.65,73.22,77.44,60.87,83.33,60.27,67.09,
00-01-0212-45,IPVB COLEGIO 'SALESIANO DON BOSCO',26 CALLE 2-46,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,132.00,87.12,12.88,69.70,17.42,9.85,3.03,9.00,14.58,25.88,22.66,85.42,74.12,77.34,50.76,38.64,10.61,91.67,8.33,42.42,49.24,5.30,3.03,9.00,18.35,26.78,22.56,81.65,73.22,77.44,88.89,N/D,90.12,N/D,
00-01-0213-45,LICEO 'SAN ANTONIO',2A. AVENIDA 2-13,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,38.00,34.21,65.79,21.05,13.16,50.00,15.79,3.00,14.58,25.88,22.66,85.42,74.12,77.34,78.95,21.05,0.00,57.89,42.11,5.26,52.63,23.68,18.42,6.00,18.35,26.78,22.56,81.65,73.22,77.44,52.94,62.26,37.25,32.08,
00-01-0216-45,INEB LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,3A. CALLE 7-64,Ciudad Capital,ZONA 1,PRIVADO,URBANA,FIN DE SEMANA,DOBLE,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,2.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,14.58,25.88,22.66,85.42,74.12,77.34,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,18.35,26.78,22.56,81.65,73.22,77.44,25.00,N/D,25.00,N/D,
00-01-0220-45,IPSB 'LICEO FRANCES',5A AVE. 9-80,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,27.00,59.26,40.74,48.15,11.11,37.04,3.70,6.00,14.58,25.88,22.66,85.42,74.12,77.34,40.74,40.74,18.52,40.74,59.26,0.00,40.74,33.33,25.93,4.00,18.35,26.78,22.56,81.65,73.22,77.44,73.47,68.29,30.61,52.17,
00-01-0221-45,IPSB 'NUESTRA SEÑORA DEL CARMEN',11 AV. 3-17,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,15.00,26.67,73.33,13.33,13.33,40.00,33.33,3.00,14.58,25.88,22.66,85.42,74.12,77.34,86.67,13.33,0.00,26.67,73.33,0.00,26.67,33.33,40.00,3.00,18.35,26.78,22.56,81.65,73.22,77.44,31.82,50.00,0.00,0.00,
00-01-0222-45,"COLEGIO ""SANTA MONICA""",10A CALLE 11-41,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,20.00,50.00,50.00,25.00,25.00,35.00,15.00,5.00,14.58,25.88,22.66,85.42,74.12,77.34,45.00,40.00,15.00,55.00,45.00,20.00,35.00,30.00,15.00,6.00,18.35,26.78,22.56,81.65,73.22,77.44,53.13,50.00,37.50,41.67,
00-01-0223-45,COLEGIO EL ROSARIO,15 CALLE 'A' 2-74,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,50.00,60.00,40.00,28.00,32.00,30.00,10.00,6.00,14.58,25.88,22.66,85.42,74.12,77.34,50.00,40.00,10.00,44.00,56.00,10.00,34.00,34.00,22.00,4.00,18.35,26.78,22.56,81.65,73.22,77.44,44.94,67.95,14.61,33.75,
00-01-0224-45,COLEGIO 'EUROPEO',11 CALLE 3-38,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,1.00,100.00,0.00,0.00,100.00,0.00,0.00,10.00,14.58,25.88,22.66,85.42,74.12,77.34,0.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,10.00,18.35,26.78,22.56,81.65,73.22,77.44,16.67,77.78,0.00,33.33,
00-01-0225-45,COLEGIO 'COMERCIAL GUATEMALTECO',10A CALLE 11-44,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,36.00,66.67,33.33,41.67,25.00,30.56,2.78,7.00,14.58,25.88,22.66,85.42,74.12,77.34,44.44,47.22,8.33,58.33,41.67,22.22,36.11,36.11,5.56,6.00,18.35,26.78,22.56,81.65,73.22,77.44,62.50,78.38,27.50,30.77,
00-01-0226-45,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION BASICA  BELGA GUATEMALTECO,9A CALLE 10-38,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,87.00,85.06,14.94,59.77,25.29,13.79,1.15,9.00,14.58,25.88,22.66,85.42,74.12,77.34,37.93,36.78,25.29,66.67,33.33,14.94,51.72,16.09,17.24,7.00,18.35,26.78,22.56,81.65,73.22,77.44,87.96,93.88,55.05,27.84,
00-01-0227-45,IPSB COLEGIO 'EL SAGRADO CORAZON',9A AVE. 13-57,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,50.00,86.00,14.00,66.00,20.00,14.00,0.00,9.00,14.58,25.88,22.66,85.42,74.12,77.34,58.00,36.00,6.00,52.00,48.00,12.00,40.00,20.00,28.00,5.00,18.35,26.78,22.56,81.65,73.22,77.44,75.31,87.78,48.75,32.29,
00-01-0236-45,IPMB LICEO IBERO GUATEMALTECO,7A AVE.3-75,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,9.00,22.22,77.78,11.11,11.11,33.33,44.44,2.00,14.58,25.88,22.66,85.42,74.12,77.34,66.67,22.22,11.11,33.33,66.67,11.11,22.22,22.22,44.44,3.00,18.35,26.78,22.56,81.65,73.22,77.44,12.50,50.00,11.11,0.00,
00-01-0238-45,IPMB 'TECNOLOGICO DE COMPUTACION' (I.T.C.),2A CALLE 11-65,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,35.00,65.71,34.29,40.00,25.71,20.00,14.29,7.00,14.58,25.88,22.66,85.42,74.12,77.34,62.86,34.29,2.86,48.57,51.43,5.71,42.86,34.29,17.14,5.00,18.35,26.78,22.56,81.65,73.22,77.44,71.21,68.66,53.03,38.24,
00-01-0239-45,IPMB LICEO DE COMPUTACION  (C.S.S.),11 CALLE 9-62,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,22.00,27.27,72.73,13.64,13.64,45.45,27.27,3.00,14.58,25.88,22.66,85.42,74.12,77.34,63.64,31.82,4.55,45.45,54.55,4.55,40.91,36.36,18.18,5.00,18.35,26.78,22.56,81.65,73.22,77.44,44.44,51.52,44.44,27.27,
