VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR99,VAR100,VAR101,VAR102,VAR103,VAR104,VAR105,VAR106,VAR107,VAR108,VAR109,VAR110,VAR111,VAR112,VAR113,VAR114,VAR115,VAR116,VAR117
00-01-0546-46,Instituto Mixto Nocturno De Educación Diversificada Por Madurez Pedro Arriaza Mata,10A. Avenida 12-01,Ciudad Capital,Zona 1,Oficial,Urbana,Diario (Regular),Nocturna,73,N/D,N/D,N/D,N/D,N/D,35.62,16.44,19.18,64.38,35.62,28.77,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,56.59,56.06,40.58,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,41.10,58.90,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,35.37,37.41,25.94,9.59,82.19,0.00,1.37,1.37,0.00,5.48,4.11,94.52,0.00,0.00,0.00,1.37,0.00,94.37,50.72,77.78,27.14,39.73,10.96,13.70,6.85,28.77,38.36,15.07,21.92,2.74,21.92,0.22,1.65,59.70,1.99,26.42,50.94,15.09,1.89,1.89,1.89,0.00,1.89,36.11,40.28,12.50,2.78,8.33,1,1,17.14,61.43,12.86,4.29,2.86,1.43,0.00,0.00
00-01-0555-46,Colegio Tecnológico Centro Cultural De Las Américas,8A. Calle 0-30,Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Matutina,19,N/D,N/D,N/D,N/D,26.32,42.11,15.79,26.32,57.89,21.05,36.84,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,56.91,56.07,38.82,N/D,N/D,N/D,N/D,5.26,5.26,0.00,5.26,94.74,26.32,68.42,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,33.75,38.87,32.28,15.79,78.95,0.00,0.00,0.00,0.00,5.26,10.53,89.47,0.00,0.00,0.00,0.00,0.00,78.95,44.44,73.68,21.79,52.63,10.53,15.79,5.26,15.79,57.89,15.79,5.26,0.00,21.05,0.71,2.33,73.68,1.00,26.67,6.67,40.00,6.67,13.33,6.67,0.00,0.00,21.05,47.37,21.05,5.26,5.26,0,1,0.00,15.79,36.84,21.05,15.79,10.53,0.00,0.00
00-01-0560-46,Colegio Tecnológico Centro Cultural De Las Américas,8A. Calle 0-30,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,92,N/D,N/D,N/D,N/D,N/D,55.43,32.61,22.83,44.57,33.70,10.87,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,61.96,64.09,53.67,N/D,N/D,N/D,N/D,N/D,5.43,3.26,2.17,94.56,48.91,45.65,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,39.07,43.48,32.90,8.70,91.30,0.00,0.00,0.00,0.00,0.00,5.43,92.39,0.00,0.00,1.09,1.09,0.00,95.65,19.78,7.61,17.27,39.13,11.96,23.91,10.87,14.13,40.22,15.22,23.91,6.52,14.13,1.12,2.34,76.67,2.66,0.00,4.35,88.04,7.61,0.00,0.00,0.00,0.00,7.61,63.04,20.65,4.35,4.35,0,1,0.00,3.26,85.87,9.78,1.09,0.00,0.00,0.00
00-01-0562-46,Colegio Tecnológico Centro Cultural De Las Américas,8A. Calle 0-30,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Vespertina,10,N/D,N/D,N/D,N/D,N/D,40.00,30.00,10.00,60.00,30.00,30.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,58.75,57.69,56.25,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,60.00,40.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,37.06,43.85,28.00,20.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,80.00,30.00,30.00,17.90,10.00,20.00,30.00,20.00,20.00,30.00,20.00,30.00,0.00,20.00,1.10,1.33,60.00,0.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,10.00,10.00,0.00,0.00,0,1,0.00,20.00,60.00,10.00,0.00,0.00,0.00,10.00
00-01-0563-46,Liceo Canadiense,11 Calle 1-53,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Doble,34,N/D,N/D,N/D,N/D,N/D,50.00,47.06,2.94,50.00,29.41,20.59,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,61.40,63.12,57.72,N/D,N/D,N/D,N/D,N/D,23.53,2.94,20.59,76.47,35.29,41.18,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,41.18,47.29,33.73,5.88,94.12,0.00,0.00,0.00,0.00,0.00,5.88,94.12,0.00,0.00,0.00,0.00,0.00,97.06,9.09,11.76,17.03,17.65,11.76,29.41,20.59,20.59,35.29,17.65,14.71,17.64,14.71,1.00,2.27,47.06,0.62,50.00,7.14,7.14,35.71,0.00,0.00,0.00,0.00,20.59,50.00,8.82,5.88,14.71,0,1,0.00,2.94,17.65,79.41,0.00,0.00,0.00,0.00
00-01-0564-46,Instituto Guillermo Putzeys Álvarez,11 Calle 3-59,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Doble,307,N/D,N/D,N/D,N/D,N/D,78.18,56.35,21.82,21.82,15.96,5.86,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,71.62,72.14,57.17,N/D,N/D,N/D,N/D,N/D,35.18,19.87,15.31,64.82,45.93,18.89,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,49.86,53.77,48.79,8.79,90.88,0.00,0.00,0.33,0.00,0.00,4.56,94.79,0.00,0.00,0.33,0.33,0.00,95.77,11.48,5.21,17.04,18.89,14.66,38.11,20.20,8.14,24.43,18.24,34.85,16.61,5.86,1.28,2.52,92.48,2.43,13.36,0.98,1.30,84.36,0.00,0.00,0.00,0.00,1.63,22.22,43.14,15.03,17.97,0,1,0.00,0.00,4.56,95.11,0.33,0.00,0.00,0.00
00-01-0565-46,Colegio Integral San Juan,9A. Calle 3-40,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,4,N/D,N/D,N/D,N/D,N/D,50.00,50.00,0.00,50.00,25.00,25.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,62.50,66.35,56.25,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,100.00,0.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,42.65,44.23,26.67,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,25.00,17.75,0.00,0.00,50.00,0.00,50.00,25.00,50.00,25.00,0.00,0.00,2.00,3.00,75.00,0.75,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,25.00,0.00,0.00,0,1,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00
00-01-0567-46,Escuela Normal Para Maestros De Educación Musical Jesús María Alvarado,2A. Calle 4-04,Ciudad Capital,Zona 1,Oficial,Urbana,Diario (Regular),Doble,65,N/D,N/D,N/D,N/D,58.82,80.00,63.08,16.92,20.00,16.92,3.08,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,74.71,71.12,59.04,N/D,N/D,N/D,N/D,19.61,18.46,9.23,9.23,81.54,47.69,33.85,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,44.98,53.61,36.92,26.15,72.31,0.00,0.00,0.00,0.00,1.54,9.23,81.54,0.00,0.00,1.54,7.69,0.00,95.38,3.13,19.05,17.03,24.62,12.31,26.15,16.92,20.00,35.38,6.15,21.54,18.46,18.46,0.98,2.34,60.94,5.08,87.69,3.08,9.23,0.00,0.00,0.00,0.00,0.00,16.92,41.54,33.85,0.00,7.69,1,1,1.56,14.06,57.81,14.06,4.69,4.69,3.13,0.00
00-01-0568-46,Colegio Integral San Juan,9A. Calle 3-40,Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Doble,9,N/D,N/D,N/D,N/D,N/D,33.33,22.22,11.11,66.67,22.22,44.44,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,52.08,58.55,41.67,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,11.11,88.89,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,26.80,39.32,18.52,11.11,88.89,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,88.89,44.44,88.89,19.67,44.44,11.11,33.33,0.00,11.11,33.33,0.00,11.11,0.00,55.56,1.22,1.33,88.89,0.56,42.86,28.57,14.29,14.29,0.00,0.00,0.00,0.00,55.56,33.33,11.11,0.00,0.00,0,0,12.50,25.00,50.00,12.50,0.00,0.00,0.00,0.00
00-01-0571-46,Colegio Mixto Santo Domingo,12A. Avenida 12-11,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,16,N/D,N/D,N/D,N/D,N/D,31.25,12.50,18.75,68.75,25.00,43.75,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,50.39,52.40,41.41,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,43.75,56.25,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,33.46,40.38,30.00,6.25,87.50,6.25,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,12.50,20.00,17.75,25.00,25.00,31.25,18.75,0.00,25.00,31.25,31.25,12.50,0.00,2.00,2.67,66.67,0.67,50.00,12.50,12.50,25.00,0.00,0.00,0.00,0.00,13.33,53.33,26.67,6.67,0.00,0,1,0.00,6.25,68.75,18.75,6.25,0.00,0.00,0.00
00-01-0573-46,Colegio Mixto Santo Domingo,12A. Avenida 12-11,Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Doble,44,N/D,N/D,N/D,N/D,8.89,11.36,6.82,4.55,88.64,34.09,54.55,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,45.17,49.13,31.25,N/D,N/D,N/D,N/D,0.00,2.27,0.00,2.27,97.73,18.18,79.55,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,29.20,34.46,24.83,25.00,68.18,0.00,2.27,0.00,0.00,4.55,9.09,90.91,0.00,0.00,0.00,0.00,0.00,77.27,29.55,65.91,20.55,40.91,11.36,11.36,2.27,34.09,47.73,13.64,9.09,2.27,27.27,1.41,1.79,45.24,0.93,39.29,14.29,21.43,17.86,7.14,0.00,0.00,0.00,38.64,45.45,15.91,0.00,0.00,0,1,0.00,16.67,33.33,41.67,8.33,0.00,0.00,0.00
00-01-0574-46,Colegio Mixto Santo Domingo,12 Avenida 12-11 Zona 1,Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Doble,36,N/D,N/D,N/D,N/D,26.67,22.22,5.56,16.67,77.78,11.11,66.67,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,51.74,46.90,33.33,N/D,N/D,N/D,N/D,3.33,2.78,0.00,2.78,97.22,27.78,69.44,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,31.37,37.18,27.96,19.44,52.78,0.00,2.78,0.00,2.78,22.22,8.33,91.67,0.00,0.00,0.00,0.00,0.00,91.43,50.00,64.52,24.08,36.11,16.67,11.11,2.78,33.33,44.44,11.11,8.33,2.78,33.33,1.06,1.95,62.86,1.06,20.00,30.00,30.00,10.00,6.67,3.33,0.00,0.00,22.86,57.14,17.14,2.86,0.00,0,1,5.71,25.71,25.71,25.71,14.29,2.86,0.00,0.00
00-01-0581-46,Liceo San Antonio,2A. Avenida 2-13,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,12,N/D,N/D,N/D,N/D,N/D,83.33,41.67,41.67,16.67,16.67,0.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,66.67,72.76,54.17,N/D,N/D,N/D,N/D,N/D,25.00,16.67,8.33,75.00,50.00,25.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,43.14,59.62,43.33,0.00,83.33,8.33,0.00,8.33,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,16.67,8.33,17.42,0.00,16.67,50.00,33.33,0.00,0.00,16.67,66.67,16.67,0.00,2.42,3.08,33.33,1.83,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,16.67,66.67,16.67,0.00,0.00,0,0,0.00,0.00,66.67,33.33,0.00,0.00,0.00,0.00
00-01-0582-46,Liceo Técnico Integral Santa Teresa De Jesús,12 Calle 10-37,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,60,N/D,N/D,N/D,N/D,N/D,56.67,40.00,16.67,43.33,35.00,8.33,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,59.79,64.62,55.00,N/D,N/D,N/D,N/D,N/D,10.00,6.67,3.33,90.00,48.33,41.67,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,41.96,44.74,36.44,5.00,95.00,0.00,0.00,0.00,0.00,0.00,3.33,96.67,0.00,0.00,0.00,0.00,0.00,94.92,20.34,5.00,17.10,40.00,18.33,21.67,10.00,10.00,31.67,16.67,30.00,6.67,15.00,1.30,2.22,40.35,4.73,23.33,10.00,0.00,63.33,1.67,0.00,0.00,1.67,16.67,51.67,16.67,10.00,5.00,1,1,0.00,0.00,3.33,93.33,1.67,0.00,0.00,1.67
00-01-0584-46,Colegio Internacional Cambridge (Cis),"3A. Avenida ""A"" 3-28",Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Doble,3,N/D,N/D,N/D,N/D,N/D,66.67,33.33,33.33,33.33,33.33,0.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,56.25,69.23,66.67,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,0.00,100.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,33.14,32.48,30.09,33.33,66.67,0.00,0.00,0.00,0.00,0.00,33.33,66.67,0.00,0.00,0.00,0.00,0.00,100.00,33.33,0.00,19.00,33.33,0.00,0.00,0.00,66.67,33.33,33.33,33.33,0.00,0.00,1.33,.00,66.67,0.67,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,66.67,33.33,0.00,0.00,0.00,1,1,0.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00
00-01-0587-46,Centro Educativo Montenevado,3A. Ave. 10-29,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Vespertina,29,N/D,N/D,N/D,N/D,39.47,41.38,24.14,17.24,58.62,44.83,13.79,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,61.85,59.68,52.59,N/D,N/D,N/D,N/D,2.63,6.90,0.00,6.90,93.10,37.93,55.17,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,39.35,43.77,31.72,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,89.66,14.29,10.71,17.62,20.69,3.45,51.72,10.35,13.79,20.69,17.24,41.38,10.34,10.34,0.69,2.52,41.38,0.07,83.33,0.00,0.00,16.67,0.00,0.00,0.00,0.00,20.69,44.83,20.69,3.45,10.34,1,1,0.00,0.00,17.24,55.17,3.45,3.45,20.69,0.00
00-01-0588-46,Colegio Mixto Indo Latino,4A. Avenida 13-35,Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Matutina,2,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,0.00,100.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,34.38,42.31,31.25,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,0.00,100.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,20.00,33.33,38.46,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,50.00,22.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,4.00,100.00,0.00,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,50.00,50.00,0.00,0.00,0.00,1,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
00-01-0590-46,Liceo Santo Domingo De Guzmán,13 Ave. 9-36,Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Doble,6,N/D,N/D,N/D,N/D,N/D,16.67,16.67,0.00,83.33,50.00,33.33,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,56.25,53.85,31.25,N/D,N/D,N/D,N/D,N/D,16.67,0.00,16.67,83.33,33.33,50.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,33.33,44.87,26.67,33.33,66.67,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,50.00,33.33,20.67,33.33,0.00,50.00,16.67,0.00,50.00,33.33,16.67,0.00,0.00,0.40,2.17,66.67,0.83,40.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,16.67,50.00,16.67,0.00,16.67,0,1,0.00,16.67,16.67,16.67,16.67,33.33,0.00,0.00
00-01-0593-46,Colegio Bilingüe Especializado En Computación Yulimay´Pc,12 Calle 4-17,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,12,N/D,N/D,N/D,N/D,N/D,58.33,16.67,41.67,41.67,25.00,16.67,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,59.38,61.54,42.71,N/D,N/D,N/D,N/D,N/D,16.67,0.00,16.67,83.34,66.67,16.67,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,47.06,51.92,32.78,8.33,83.33,8.33,0.00,0.00,0.00,0.00,8.33,91.67,0.00,0.00,0.00,0.00,0.00,100.00,16.67,25.00,17.08,8.33,25.00,8.33,0.00,58.33,25.00,16.67,25.00,16.67,16.67,1.00,2.83,100.00,1.00,0.00,8.33,50.00,41.67,0.00,0.00,0.00,0.00,25.00,58.33,8.33,0.00,8.33,1,1,0.00,8.33,41.67,50.00,0.00,0.00,0.00,0.00
00-01-0594-46,Escuela Normal Para Maestros De Educación Musical Jesús María Alvarado,10 Avenida 2-24,Ciudad Capital,Zona 1,Oficial,Urbana,Diario (Regular),Intermedia,10,N/D,N/D,N/D,N/D,N/D,30.00,20.00,10.00,70.00,30.00,40.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,52.50,55.38,48.75,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,60.00,40.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,38.24,41.54,28.00,30.00,70.00,0.00,0.00,0.00,0.00,0.00,30.00,70.00,0.00,0.00,0.00,0.00,0.00,90.00,50.00,30.00,18.70,40.00,10.00,20.00,20.00,10.00,30.00,0.00,30.00,20.00,20.00,1.20,1.50,60.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,20.00,0.00,0.00,1,1,0.00,20.00,80.00,0.00,0.00,0.00,0.00,0.00
00-01-0595-46,Liceo Hispanoamericano No. 2,2A. Calle 7-11,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,9,N/D,N/D,N/D,N/D,N/D,66.67,55.56,11.11,33.33,11.11,22.22,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,65.97,72.65,58.33,N/D,N/D,N/D,N/D,N/D,11.11,11.11,0.00,88.89,55.56,33.33,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,42.48,40.17,34.81,11.11,88.89,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,12.50,11.11,17.33,22.22,0.00,44.44,22.22,11.11,11.11,0.00,55.56,22.22,11.11,1.00,3.44,44.44,3.89,0.00,0.00,44.44,55.56,0.00,0.00,0.00,0.00,11.11,44.44,22.22,0.00,22.22,1,1,0.00,0.00,44.44,55.56,0.00,0.00,0.00,0.00
00-01-0596-46,Liceo Hispanoamericano,1A. Avenida 7-12,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,10,N/D,N/D,N/D,N/D,N/D,30.00,30.00,0.00,70.00,40.00,30.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,65.63,58.85,41.25,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,10.00,90.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,32.94,30.00,28.00,10.00,70.00,10.00,0.00,0.00,0.00,10.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,88.89,20.00,20.00,17.50,20.00,20.00,20.00,10.00,30.00,40.00,50.00,0.00,0.00,10.00,1.10,2.13,60.00,2.30,0.00,0.00,10.00,90.00,0.00,0.00,0.00,0.00,22.22,66.67,11.11,0.00,0.00,1,1,0.00,0.00,25.00,75.00,0.00,0.00,0.00,0.00
00-01-0600-46,Liceo Técnico Comercial,4Ta. Avenida 5-26,Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Doble,13,N/D,N/D,N/D,N/D,N/D,23.08,7.69,15.38,76.92,61.54,15.38,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,60.58,59.47,33.65,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,38.46,61.54,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,39.37,44.38,20.00,7.69,84.62,0.00,0.00,7.69,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,53.85,66.67,29.23,30.77,7.69,15.38,15.38,30.77,23.08,7.69,23.08,0.00,46.15,1.00,2.23,23.08,1.46,8.33,50.00,33.33,8.33,0.00,0.00,0.00,0.00,46.15,38.46,7.69,0.00,7.69,1,1,0.00,46.15,38.46,7.69,7.69,0.00,0.00,0.00
00-01-0605-46,Liceo Técnico Ciencia Y Desarrollo,10A. Calle 3-15,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,3,N/D,N/D,N/D,N/D,N/D,33.33,0.00,33.33,66.67,0.00,66.67,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,43.75,51.28,16.67,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,0.00,100.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,23.53,30.77,22.22,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,66.67,18.33,66.67,0.00,33.33,0.00,0.00,66.67,0.00,33.33,0.00,0.00,2.67,3.00,66.67,1.33,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,33.33,33.33,33.33,0.00,0.00,1,1,0.00,33.33,33.33,33.33,0.00,0.00,0.00,0.00
00-01-2385-46,Instituto Guillermo Putzeys Alvarez,11 Calle 3-59,Ciudad Capital,Zona 1,Privado,Urbana,Fin De Semana,Doble,1895,10.06,14.97,11.41,9.61,10.66,13.35,5.80,7.55,86.65,26.33,60.32,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,45.24,46.21,34.13,0.91,0.49,0.97,0.73,1.04,1.37,0.58,0.79,98.62,15.30,83.32,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,28.91,33.37,22.92,23.38,69.92,0.69,1.21,0.69,0.11,4.01,14.25,84.43,0.00,0.05,0.05,0.95,0.26,76.57,47.75,74.25,23.39,46.60,9.71,8.02,3.48,32.19,47.81,6.86,6.65,2.58,36.09,0.78,1.27,69.37,1.54,15.82,23.35,27.24,20.59,8.47,3.58,0.13,0.82,27.73,51.89,14.05,3.19,3.14,1,1,3.32,15.33,33.04,29.84,12.12,4.67,0.33,1.36
00-01-2418-46,Instituto Centroamericano De Mercadotecnia Y Publicidad,1A. Calle 7-48,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,24,31.25,42.86,55.00,60.00,46.34,75.00,54.17,20.83,25.00,16.67,8.33,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,68.23,70.03,62.50,12.50,7.14,10.00,4.00,4.88,8.33,4.17,4.17,91.66,58.33,33.33,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,38.48,50.32,36.39,0.00,95.83,0.00,0.00,0.00,0.00,4.17,0.00,100.00,0.00,0.00,0.00,0.00,0.00,95.83,8.70,0.00,17.92,25.00,8.33,45.83,12.50,8.33,37.50,16.67,29.17,8.33,8.33,1.45,3.08,100.00,3.54,0.00,5.26,21.05,68.42,0.00,5.26,0.00,0.00,13.04,39.13,21.74,4.35,21.74,1,0,4.76,0.00,23.81,71.43,0.00,0.00,0.00,0.00
