Codigo Departamento	Departamento	Codigo Municipio	Municipio	Nivel para indicadores	Ano	Grado	Inscritos Total	Inscritos Hombres	Inscritos Mujeres	Repitentes Total	Repitentes Hombres	Repitentes Mujeres	No promovidos Total	No promovidos Hombres	No promovidos Mujeres	Desertores Total	Desertores Hombres	Desertores Mujeres	Fracaso Escolar Total	Fracaso Escolar Mujeres	Fracaso Escolar Hombres	Tasa de Conservación Hombres	Tasa de Conservación Mujeres	Tasa de Conservación Total
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2015	2	22835	11659	11176	869	504	365	1082	662	420	376	200	176	0.06	0.05	0.07	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2015	3	22422	11549	10873	673	414	259	759	498	261	323	191	132	0.05	0.04	0.06	0.98	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2015	4	22670	11552	11118	672	416	256	1204	722	482	343	216	127	0.07	0.05	0.08	0.98	0.99	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2015	5	22121	11126	10995	471	290	181	1266	781	485	330	182	148	0.07	0.06	0.09	0.98	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2015	6	21254	10620	10634	216	142	74	850	551	299	289	149	140	0.05	0.04	0.07	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2016	1	24471	12480	11991	292	192	100	1825	1060	765	704	406	298	0.1	0.09	0.12	0.97	0.98	0.97
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2016	2	22962	11609	11353	1362	736	626	855	497	358	351	182	169	0.05	0.05	0.06	0.98	0.99	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2016	3	22123	11280	10843	65	45	20	756	513	243	303	186	117	0.05	0.03	0.06	0.98	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2016	4	22057	11276	10781	50	30	20	1031	656	375	302	173	129	0.06	0.05	0.07	0.98	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2016	5	22122	11201	10921	609	384	225	1028	641	387	337	184	153	0.06	0.05	0.07	0.98	0.99	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2016	6	21394	10677	10717	446	275	171	687	406	281	251	126	125	0.04	0.04	0.05	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2017	1	23751	12219	11532	1654	944	710	1752	1012	740	713	395	318	0.1	0.09	0.12	0.97	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2017	2	22898	11573	11325	831	496	335	858	544	314	352	204	148	0.05	0.04	0.06	0.98	0.99	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2017	3	22603	11501	11102	692	459	233	777	516	261	335	195	140	0.05	0.04	0.06	0.98	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2017	4	21769	11058	10711	577	363	214	972	580	392	332	202	130	0.06	0.05	0.07	0.98	0.99	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2017	5	21566	10971	10595	480	310	170	933	607	326	333	201	132	0.06	0.04	0.07	0.98	0.99	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2017	6	21433	10777	10656	255	160	95	509	317	192	244	119	125	0.04	0.03	0.04	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2013	1	1893	775	1118	83	31	52	156	50	106	590	281	309	0.39	0.37	0.43	0.64	0.72	0.69
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2013	2	2717	1276	1441	38	21	17	236	117	119	690	377	313	0.34	0.3	0.39	0.7	0.78	0.75
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2013	3	1704	882	822	23	15	8	171	86	85	254	161	93	0.25	0.22	0.28	0.82	0.89	0.85
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2013	4	4168	2150	2018	21	13	8	407	239	168	314	218	96	0.17	0.13	0.21	0.9	0.95	0.92
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2014	1	1507	594	913	66	30	36	133	51	82	317	161	156	0.3	0.26	0.36	0.73	0.83	0.79
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2014	2	2048	920	1128	38	24	14	247	119	128	165	101	64	0.2	0.17	0.24	0.89	0.94	0.92
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2014	3	3525	1776	1749	46	26	20	153	82	71	2276	1162	1114	0.69	0.68	0.7	0.35	0.36	0.35
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2014	4	1588	859	729	26	16	10	388	211	177	-1732	-822	-910	-0.85	-1.01	-0.71	1.96	2.25	2.09
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2015	1	1832	710	1122	42	12	30	212	66	146	423	208	215	0.35	0.32	0.39	0.71	0.81	0.77
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2015	2	2523	1176	1347	135	81	54	239	110	129	545	288	257	0.31	0.29	0.34	0.76	0.81	0.78
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2015	3	2171	1125	1046	94	63	31	208	110	98	544	318	226	0.35	0.31	0.38	0.72	0.78	0.75
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2015	4	4689	2509	2180	215	149	66	315	174	141	1125	640	485	0.31	0.29	0.32	0.74	0.78	0.76
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2016	1	2406	868	1538	18	9	9	260	116	144	501	213	288	0.32	0.28	0.38	0.75	0.81	0.79
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2016	2	2647	1244	1403	97	65	32	408	214	194	525	277	248	0.35	0.32	0.39	0.78	0.82	0.8
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2016	3	2215	1166	1049	95	65	30	411	276	135	347	199	148	0.34	0.27	0.41	0.83	0.86	0.84
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2016	4	4113	2202	1911	181	131	50	368	235	133	338	206	132	0.17	0.14	0.2	0.91	0.93	0.92
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2017	1	1549	685	864	65	29	36	119	63	56	983	438	545	0.71	0.7	0.73	0.36	0.37	0.37
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2017	2	2529	1139	1390	138	80	58	239	134	105	409	226	183	0.26	0.21	0.32	0.8	0.87	0.84
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2017	3	2221	1172	1049	166	127	39	476	301	175	305	152	153	0.35	0.31	0.39	0.87	0.85	0.86
1	GUATEMALA	1	GUATEMALA	PRIMARIA DE ADULTOS	2017	4	3998	2074	1924	266	169	97	408	227	181	323	193	130	0.18	0.16	0.2	0.91	0.93	0.92
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2013	1	2290	1196	1094	167	121	46	927	593	334	54	41	13	0.43	0.32	0.53	0.97	0.99	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2013	2	1913	951	962	54	37	17	669	417	252	-127	-39	-88	0.28	0.17	0.4	1.04	1.09	1.07
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2013	3	1595	755	840	30	23	7	355	195	160	-164	-40	-124	0.12	0.04	0.21	1.05	1.15	1.1
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2014	1	2586	1356	1230	224	152	72	756	479	277	206	127	79	0.37	0.29	0.45	0.91	0.94	0.92
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2014	2	1883	933	950	87	59	28	521	324	197	44	32	12	0.3	0.22	0.38	0.97	0.99	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2014	3	1898	889	1009	32	19	13	359	205	154	42	15	27	0.21	0.18	0.25	0.98	0.97	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2015	1	2167	1122	1045	189	127	62	569	378	191	23	8	15	0.27	0.2	0.34	0.99	0.99	0.99
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2015	2	2235	1103	1132	97	60	37	439	269	170	118	68	50	0.25	0.19	0.31	0.94	0.96	0.95
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2015	3	1963	924	1039	33	24	9	211	129	82	72	36	36	0.14	0.11	0.18	0.96	0.97	0.96
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2016	1	2079	1074	1005	29	19	10	571	380	191	68	48	20	0.31	0.21	0.4	0.96	0.98	0.97
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2016	2	2114	1055	1059	139	92	47	507	313	194	112	67	45	0.29	0.23	0.36	0.94	0.96	0.95
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2016	3	1940	949	991	17	10	7	238	145	93	62	36	26	0.15	0.12	0.19	0.96	0.97	0.97
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2017	1	2152	1083	1069	112	75	37	569	376	193	89	52	37	0.31	0.22	0.4	0.95	0.97	0.96
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2017	2	2099	1027	1072	91	61	30	555	353	202	49	18	31	0.29	0.22	0.36	0.98	0.97	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	BASICO	2017	3	1738	845	893	30	17	13	261	152	109	14	6	8	0.16	0.13	0.19	0.99	0.99	0.99
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2013	4	1047	496	551	42	31	11	297	152	145	9	6	3	0.29	0.27	0.32	0.99	0.99	0.99
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2013	5	984	454	530	4	3	1	124	51	73	-168	-77	-91	-0.04	-0.03	-0.06	1.17	1.17	1.17
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2013	6	217	78	139	2	0	2	8	5	3	1	0	1	0.04	0.03	0.06	1	0.99	1
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2014	4	1295	601	694	25	10	15	267	123	144	21	12	9	0.22	0.22	0.22	0.98	0.99	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2014	5	1161	522	639	5	1	4	110	45	65	10	7	3	0.1	0.11	0.1	0.99	1	0.99
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2014	6	235	86	149	2	1	1	14	9	5	-1	-1	0	0.06	0.03	0.09	1.01	1	1
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2015	4	1496	750	746	46	18	28	352	197	155	3	0	3	0.24	0.21	0.26	1	1	1
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2015	5	1513	692	821	33	19	14	132	61	71	85	45	40	0.14	0.14	0.15	0.93	0.95	0.94
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2015	6	227	85	142	1	1	0	8	6	2	0	0	0	0.04	0.01	0.07	1	1	1
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2016	4	1461	697	764	19	10	9	333	195	138	24	9	15	0.24	0.2	0.29	0.99	0.98	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2016	5	1611	781	830	32	23	9	125	74	51	64	36	28	0.12	0.1	0.14	0.95	0.97	0.96
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2016	6	272	108	164	7	4	3	13	5	8	5	3	2	0.07	0.06	0.07	0.97	0.99	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2017	4	1589	779	810	53	35	18	348	199	149	64	29	35	0.26	0.23	0.29	0.96	0.96	0.96
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2017	5	1503	690	813	28	17	11	129	77	52	34	16	18	0.11	0.09	0.13	0.98	0.98	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	DIVERSIFICADO	2017	6	242	80	162	0	0	0	2	1	1	5	2	3	0.03	0.02	0.04	0.98	0.98	0.98
1	GUATEMALA	2	SANTA CATARINA PINULA	PREPRIMARIA	2013	0	0	0	0	0	0	0	0	0	0	-1	-1	0	#DIV/0	#DIV/0	#DIV/0	#DIV/0	#DIV/0	#DIV/0
1	GUATEMALA	2	SANTA CATARINA PINULA	PREPRIMARIA	2013	1	10	6	4	0	0	0	0	0	0	3	1	2	0.3	0.5	0.17	0.83	0.5	0.7
1	GUATEMALA	2	SANTA CATARINA PINULA	PREPRIMARIA	2013	2	31	12	19	0	0	0	0	0	0	26	10	16	0.84	0.84	0.83	0.17	0.16	0.16
1	GUATEMALA	2	SANTA CATARINA PINULA	PREPRIMARIA	2013	3	92	42	50	0	0	0	0	0	0	44	22	22	0.48	0.44	0.52	0.48	0.56	0.52
1	GUATEMALA	2	SANTA CATARINA PINULA	PREPRIMARIA	2013	4	440	227	213	0	0	0	0	0	0	19	15	4	0.04	0.02	0.07	0.93	0.98	0.96
